Account,trade_date,total_daily_pnl,num_trades,wins,avg_size_used,avg_fee,win_rate,value,sentiment_class
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,0,5089.718248587571,0.9480003107344632,0.0,76.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68,0,7976.664411764705,0.998288455882353,0.0,90.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,40,0,23734.5,2.3734495750000004,0.0,83.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12,0,28186.666666666668,2.8186662499999997,0.0,94.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,27,12,17248.14814814815,3.874907037037037,0.4444444444444444,79.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82,0,16058.536341463414,1.6058532560975611,0.0,77.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,23,0,48561.68565217392,16.996589260869566,0.0,84.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,33,0,36736.36242424243,3.673636121212121,0.0,72.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,465,23,11410.954021505377,1.6781428817204302,0.04946236559139785,77.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,51,28,9400.588039215687,0.4700292745098039,0.5490196078431373,76.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,10,9,185847.0,9.2923496,0.9,60.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,839,256,23593.019856972587,2.8069586364719905,0.30512514898688914,44.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,531,83,10576.687156308852,1.3261758380414312,0.15630885122410546,72.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,210,78,26585.06338095238,3.3338170333333332,0.37142857142857144,54.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,141,132,10161.056241134751,0.0,0.9361702127659575,46.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,48,16,32032.5,0.0,0.3333333333333333,43.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,6,0,134600.00166666668,0.0,0.0,47.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,59,31,27178.041694915253,9.512314118644069,0.5254237288135594,49.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,219,93,13233.776894977169,2.5383048447488585,0.4246575342465753,25.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,55,1,24958.908545454546,2.4958904545454548,0.01818181818181818,16.0,Extreme Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,45,36,2985.797555555556,0.14928933333333333,0.8,20.0,Extreme Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,641,540,8371.136099843994,0.4185563572542902,0.8424336973478939,33.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,5,4,79640.0,7.963999599999999,0.8,45.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,31,31,21491.640322580646,2.149163548387097,1.0,43.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,55,46,2469.9509090909087,0.6305604361818182,0.8363636363636363,84.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,1,0,0.06,0.0,0.0,81.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,34,0,1426.8700000000001,0.03872612411764706,0.0,72.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3515.031065,26,25,2001.101153846154,0.20010953846153845,0.9615384615384616,75.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,0.0,46,0,1131.888695652174,0.031267971739130436,0.0,78.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2517.787385,64,63,852.88625,0.29850940625,0.984375,78.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1613.165903,59,15,1913.523898305085,0.3527898672881356,0.2542372881355932,81.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,1,0,0.11,0.0,0.0,75.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1245.51851,34,21,10051.199411764705,3.517919411764706,0.6176470588235294,74.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,0.0,13,0,2845.9646153846156,4.731560769230769,0.0,61.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4493.232479,17,17,2440.6282352941175,0.8542195294117647,1.0,75.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,1047.030992,39,28,2154.3915384615384,2.2857574615384615,0.717948717948718,77.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4842.054317,124,80,2194.294758064516,1.0077556223387096,0.6451612903225806,77.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1693.493165,339,198,1737.369557522124,0.31875333985250737,0.584070796460177,75.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,4221.156399,54,4,2398.331666666667,0.44917774537037036,0.07407407407407407,75.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,0.0,44,0,1519.465681818182,0.024074566363636363,0.0,71.0,Greed
